,file,bbox,class,size (cm)
0,26_05_21-B20,"[2272.628996958517, 1685.2591150516498, 837.9792848104512, 636.7408849483502]",Sepia officinalis,8.43508509439376
1,26_05_21-B25,"[1807.393678506843, 1585.7146585117644, 1094.7563626768208, 1148.664819929846]",Mullus barbatus,16.2114197048602
2,26_05_21-B25,"[2648.726235342625, 1368.0723135423739, 345.682395567459, 1272.4069667767778]",Mullus barbatus,14.4229772434603
3,26_05_21-B25,"[2845.1096085383197, 1180.704037335252, 426.91817629436355, 1416.7005403287812]",Mullus barbatus,15.6049453213321
4,26_05_21-B25,"[3192.0335090997633, 1235.4288323372514, 337.19319681438674, 1323.866471583757]",Mullus barbatus,14.8293568810183
5,26_05_21-B25,"[2927.8783748472597, 357.1229386409866, 304.8994422830792, 1252.2395491008394]",Mullus barbatus,14.9264012124956
6,26_05_21-B25,"[2619, 338.857915443438, 293.8694607532011, 1253.142084556562]",Mullus barbatus,14.948392588755
7,26_05_21-B25,"[1719.554610116563, 1380.124959908896, 774.3374942710586, 563.975808327421]",Sepia officinalis,7.68507367077874
8,26_05_21-B25,"[1440.1360670147146, 1080.3214756084956, 803.179821503732, 639.5994097921778]",Sepia officinalis,7.96560577056735
9,26_05_21-B25,"[494, 1562, 977, 772.7439937317663]",Sepia officinalis,9.55839452315615
10,26_05_21-B25,"[664.8459546837964, 395.0562185168565, 742.6550691704556, 909.5070891162409]",Sepia officinalis,10.2437253432593
11,26_05_21-B25,"[1180.448943312677, 583.1303118072359, 614.3594482064952, 568.2589689383204]",Sepia officinalis,5.9552581218068
12,26_05_21-B25,"[1544, 171.0431693637797, 923.5258296718589, 596.9568306362203]",Sepia officinalis,10.2192162087328
13,26_05_21-B30,"[506, 162, 776, 1635.907062919484]",Spicara maena,20.3854921184424
14,26_05_21-B30,"[888.9748257001685, 296, 949.0251742998315, 1244]",Pagellus erythrinus,17.3247845483874
15,26_05_21-B30,"[1648.7593578910733, 453.0134841261, 562.0, 1437.9999999999995]",Pagellus erythrinus,18.1078835445383
16,26_05_21-B30,"[532.9602164504867, 1449.976677113319, 606.6868738713425, 1377.3431731133182]",Diplodus anularis,15.7471842965439
17,26_05_21-B30,"[1443.5724881272556, 1364.4363784015598, 423.3491823594968, 1249.76734672594]",Diplodus anularis,13.6760419783738
18,26_05_21-B9,"[521, 1532, 498, 1201]",Diplodus anularis,13.3762511990458
19,26_05_21-B9,"[1009.7398484859973, 2166.2501915906937, 1727.2778518547962, 527.6916567363751]",Symphodus tinca H,20.0190930115487
20,26_05_21-B9,"[2255.4647633224045, 1201.9683152780256, 937.062803083732, 1200.4941131875928]",Pagellus erythrinus,18.1075801389864
21,26_05_21-B9,"[2351, 879.6828040961296, 1426, 415.31719590387036]",Symphodus tinca H,17.8183575169707
22,26_05_21-B9,"[2075.922519760261, 585, 1341.5807368254373, 433.3214227036317]",Symphodus tinca H,17.1975417971195
23,26_05_21-B9,"[609.7121508887647, 266.1757721882396, 1356.2226860864735, 957.0940877787427]",Symphodus tinca M,19.2788728593257
24,26_05_21-B9,"[580.7163838360466, 589, 699.0110665997624, 1546.752246162932]",Symphodus tinca M,19.1707282932698
25,26_05_21-B14,"[1006, 756, 432, 1615]",Serranus scriba,17.5692683516957
26,26_05_21-B14,"[2000, 2156.265098819598, 1422.891411099194, 547.7349011804022]",Scorpaena porcus,16.9824518976555
27,26_05_21-B7,"[884, 2211, 1981.6677223527568, 580]",Symphodus tinca H,24.4438140692524
28,26_05_21-B7,"[688.9853201302483, 427.0727982909291, 542.4853573831979, 1826.927201709071]",Symphodus tinca H,22.3286515806136
29,26_05_21-B7,"[1031.031250877194, 180.47095659903817, 577.318916356566, 1722.5290434009619]",Serranus scriba,22.3027039105369
30,26_05_21-B7,"[1551, 634.694928812566, 505.2942692077954, 1583.305071187434]",Symphodus tinca M,19.5257763418434
31,26_05_21-B7,"[1812.164252078808, 614.4417668865372, 667.835747921192, 1598.5582331134628]",Symphodus tinca H,20.6204607680489
32,26_05_21-B7,"[2398.224834389013, 423.46643563353507, 577.2447878997732, 1796.5335643664648]",Symphodus tinca H,23.3809389288209
33,26_05_21-B7,"[2921, 687.122195823254, 599.9875402924154, 2022.877804176746]",Symphodus tinca M,25.3990392967186
34,26_05_21-B27,"[623.7488080186449, 370, 2861.251191981355, 371]",Sphyraena sphyraena,38.6845670081362
35,26_05_21-B27,"[293.3167203293574, 983, 804.7445394171621, 1604]",Pagellus erythrinus,21.3647466727273
36,26_05_21-B3,"[648.5380293492765, 572.1236946835324, 1188.817670882718, 578.8763053164676]",Diplodus anularis,14.5584188828004
37,26_05_21-B3,"[2023.4926370880046, 263.53553823898056, 455.9999999999943, 1301.9999999999836]",Diplodus anularis,15.3051039147057
38,26_05_21-B3,"[2566.785535572145, 481.5839996852182, 441.9999999999941, 1183.999999999984]",Diplodus anularis,14.2478846979291
39,26_05_21-B3,"[2950.1596150327873, 680.8372413586566, 638.8263111053416, 1812.542906509202]",Pagellus erythrinus,21.8850855969836
40,26_05_21-B3,"[2401.5509359402176, 1021.1607634139685, 529.4890493959633, 1728.3839436241287]",Pagellus erythrinus,19.7680879607297
41,26_05_21-B3,"[1758.974813646957, 913.4569647547454, 609.0495801342167, 1777.766342013389]",Diplodus anularis,20.6383646574439
42,26_05_21-B19,"[625, 1210, 474.5323299963454, 1110]",Serranus scriba,12.9277449599459
43,26_05_21-B19,"[720.702962610902, 776.1493704286154, 709.9389868281478, 1079.6307172962618]",Symphodus tinca M,14.5379559754051
44,26_05_21-B19,"[1086, 287.5759525715951, 1195.4130870588615, 449.56139772373916]",Symphodus tinca H,14.2935373643815
45,26_05_21-B19,"[2152, 258.42763360138787, 1391.0502305087462, 426.57236639861213]",Symphodus tinca H,17.2083101592188
46,26_05_21-B19,"[1904.9155393467695, 1478.6544310704578, 455.4154518120754, 1286.6858246979716]",Serranus scriba,14.9177673673471
47,26_05_21-B19,"[2088.2752854696623, 1669.1592108064503, 592.3681831173617, 1352.509489993454]",Symphodus tinca H,15.8000320302688
48,26_05_21-B19,"[2686.1916474158284, 1720.0720969208226, 695.2704934526832, 968.1100646316797]",Serranus scriba,13.0218168958831
49,26_05_21-B19,"[2768.1641221658183, 1725.1923005355604, 896.3313174915147, 953.7690747675308]",Serranus scriba,15.6676766254096
50,26_05_21-B19,"[3118.9607135738565, 619.6916672478884, 383.03928642614346, 1276.263852092979]",Spicara maena,15.4077947385287
51,26_05_21-B19,"[2876.4107837821643, 630.5133891569295, 363.5103206306244, 1167.0594504456894]",Serranus scriba,13.7701669604994
52,26_05_21-B1,"[402.7939831999557, 740, 791.2060168000444, 2100]",Symphodus tinca M,23.6791117091443
53,26_05_21-B1,"[827, 282.1409218726092, 691, 1788.8590781273908]",Symphodus tinca M,20.4726803348833
54,26_05_21-B1,"[2010, 236.89064128301746, 949.7472596709395, 2164.1093587169826]",Symphodus tinca M,26.5983437975175
55,26_05_21-B1,"[2758.4675321492496, 221.03676991940415, 687.7527658914801, 1917.9632300805958]",Symphodus tinca H,22.973911803989
56,26_05_21-B11,"[410.2734310581395, 785.34624613616, 524.1829408199231, 682.4713580115907]",Sepia officinalis,7.24375100427916
57,26_05_21-B11,"[346, 1537, 815.1772631628487, 629]",Sepia officinalis,7.31621951822953
58,26_05_21-B11,"[1215, 2180, 632.3087076358061, 439]",Sepia officinalis,5.62281666001346
59,26_05_21-B11,"[1856.759601876473, 1332, 513.7582641864001, 659.5783190007658]",Sepia officinalis,6.8482798987802
60,26_05_21-B11,"[1392.0698951272752, 1394.1306397284968, 424.93010487272477, 595.8693602715032]",Sepia officinalis,6.40369007468587
61,26_05_21-B11,"[1418, 472, 516.9703479863085, 610.8210537949776]",Sepia officinalis,6.25324319357758
62,26_05_21-B21,"[455.86938087232784, 558, 577.1306191276722, 1651.7711489443186]",Symphodus tinca M,19.1354959874368
63,26_05_21-B21,"[978.6928109727337, 297, 603.5625551178287, 1816.1654479940498]",Symphodus tinca M,20.8995860228474
64,26_05_21-B21,"[2979.1187593960626, 812.3809981027564, 492.490273898085, 1339.6190018972436]",Symphodus tinca H,16.2931623863215
65,26_05_21-B21,"[1848.583457240533, 2247.6066039212433, 1252.4300564034413, 433.0287855085239]",Symphodus tinca H,15.4772767907651
66,26_05_21-B21,"[475.75789125407124, 2242.192027000077, 1667.0729396562365, 481.8079729999231]",Symphodus tinca M,19.410057461538
67,26_05_21-B2,"[734, 87.07136221786742, 646, 1920.9286377821327]",Symphodus tinca H,25.0215452698264
68,26_05_21-B2,"[1178.98811923581, 991.2218218160641, 527.0727583408186, 1560.7781781839358]",Symphodus tinca M,19.4098620165762
69,26_05_21-B2,"[1609.1446485823208, 855.8382020977848, 718.9145155174215, 1144.1157372842567]",Spicara maena,16.4439973587718
70,26_05_21-B2,"[2146, 1195, 437.0334823277876, 1535]",Symphodus tinca H,19.3378461156884
71,26_05_21-B2,"[2488, 1487, 369, 1366.62896508123]",Pagellus erythrinus,17.4452034445223
72,26_05_21-B2,"[3008, 738.0144461836451, 571.3549363690772, 1719.9041130583548]",Symphodus tinca M,22.8020243404914
73,26_05_21-B31,"[604.2429219837745, 111.63153355752522, 738.3127516065601, 876.5234629247316]",Diplodus anularis,13.8710019290478
74,26_05_21-B31,"[442.9919730285592, 1783.6715760274415, 1022.0615003849853, 535.3284239725585]",Diplodus anularis,13.7259743528233
75,26_05_21-B31,"[1316.7499299330236, 1738.869495810899, 536.6003898336962, 967.1659720954649]",Diplodus anularis,12.2283716053642
76,26_05_21-B31,"[2019.238074051308, 1521.3284499521, 488.5716427705902, 1102.3289021941428]",Diplodus anularis,14.4762899876168
77,26_05_21-B31,"[2466.9322557441433, 1442.1206780854407, 863.678366697653, 1025.5004571900238]",Diplodus anularis,15.5019487531731
78,26_05_21-B31,"[2854.1582317901602, 1617.003914324779, 658.7010773407646, 819.3598766921705]",Diplodus anularis,13.8368170628393
79,26_05_21-B31,"[1643.3191671528891, 815.3026869870732, 474.6621298091479, 1144.0574410784593]",Diplodus anularis,15.0043434303899
80,26_05_21-B12,"[600, 1156.718663097606, 398, 1554.281336902394]",Pagellus acarne,17.9658212160112
81,26_05_21-B12,"[1538, 1016.6404321256487, 433.0094165311514, 1646.538596810497]",Pagellus acarne,19.5433023510491
82,26_05_21-B5,"[1128.4574380310698, 2300.043811817305, 1808.3973810024665, 533.6203222664749]",Symphodus tinca M,22.5758300391304
83,26_05_21-B5,"[2843, 670.1806987782579, 603.1562003760478, 2090.819301221742]",Symphodus tinca H,26.0496907075301
84,26_05_21-B6,"[437.28033329486664, 707, 768.5005911195746, 1991.631346608694]",Symphodus tinca H,23.2210948555902
85,26_05_21-B6,"[1060.4375052184557, 1314.965942013484, 1236.3375400135567, 1432.4766506395927]",Symphodus tinca M,20.4463914875129
86,26_05_21-B6,"[780.1331689851598, 230.08492297927427, 1501.1734282597395, 1882.0000000000005]",Symphodus tinca M,26.1223841141547
87,26_05_21-B6,"[2105, 272.8364375112566, 575.4234857185506, 2051.500415157247]",Symphodus tinca M,23.5709461342868
88,26_05_21-B6,"[2453.587829914068, 913, 670.4121700859318, 2098]",Symphodus tinca H,24.1015835927845
89,26_05_21-B6,"[2978.6253074522488, 460.4358747826469, 569.2560502333354, 1947.5641252173532]",Symphodus tinca H,22.6039387147375
90,26_05_21-B4,"[543, 325.97032740518955, 696, 2063.0296725948106]",Symphodus tinca H,23.8214100048098
91,26_05_21-B4,"[1132.2473465449477, 1827.8936273157506, 2148.900987939789, 662.1063726842494]",Symphodus tinca M,25.6078798307287
92,26_05_21-B13,"[925.6798060064256, 440.10218334461194, 2410.7707321639127, 650.4434951876939]",Mullus barbatus,28.6495420224166
93,26_05_21-B13,"[520.2696759669552, 474, 818.216618946424, 1994]",Mullus barbatus,23.1610889369168
94,26_05_21-B13,"[964.2600724911401, 649.074898628837, 820.6572710102796, 1944.7337315504149]",Mullus barbatus,22.3015643989323
95,26_05_21-B13,"[1353.352965367779, 867.5188034461529, 865.950928504077, 1598.5550535464872]",Mullus barbatus,18.5810777910265
96,26_05_21-B13,"[2203.396802116503, 1018.9472078754591, 533.5830453151489, 1658.052792124541]",Mullus barbatus,17.7492551935005
97,26_05_21-B13,"[3046, 1020.7717976802023, 582.4491662295914, 1653.2282023197977]",Mullus barbatus,18.837206916719
98,26_05_21-B24,"[384.1292309715948, 508, 479.8707690284052, 794.6123070852157]",Scorpaena porcus,10.6522460736672
99,26_05_21-B24,"[827.2462542639547, 302.86335692575113, 820.504714486561, 784.2131598073477]",Pagellus acarne,13.0478172392484
100,26_05_21-B24,"[851.4134348553773, 1266.4085491662372, 370.8050152006574, 845.7510133938399]",Scorpaena porcus,9.41943599425283
101,26_05_21-B24,"[719.6140396447211, 1946.5212521567391, 1028.385960355279, 701.4787478432609]",Symphodus tinca H,13.5543089509433
102,26_05_21-B24,"[849.1947994686084, 1461.1824867508592, 1275.9999999999936, 1205.9999999999939]",Serranus scriba,17.9620353061881
103,26_05_21-B24,"[1693.9144052443874, 1983.3865010909574, 887.9277116992919, 626.9440328911253]",Serranus scriba,12.696096638799
104,26_05_21-B24,"[1300.2723166742855, 445.963284666635, 1098.9061875636219, 302.03854278064466]",Serranus scriba,13.0773975590308
105,26_05_21-B24,"[1209.1933436874085, 391.74880307617167, 419.8858323891268, 1087.8286698556137]",Serranus scriba,13.2035302376577
106,26_05_21-B24,"[1428.0312367987578, 886.8973460205655, 413.4214042041626, 941.5047542601296]",Serranus scriba,12.6358200257974
107,26_05_21-B24,"[1976.413069949402, 1358.5411811163237, 880.7500562765438, 277.5768129488574]",Scorpaena porcus,11.0438306572626
108,26_05_21-B24,"[2584.868862484121, 269.797074881665, 802.4639738254969, 508.9130500671098]",Serranus scriba,12.2329778200853
109,26_05_21-B24,"[2613.377187729561, 473.1457652331807, 1143.296294875046, 560.2405347392132]",Symphodus tinca H,15.9564354405652
